,word,count,is_preventive
0,Leptospirosis,0.6903693476009665,True
1,Vaccine,3.175698998964446,True
2,Canine,2.312737314463238,True
3,Rabies,1.3462202278218847,True
4,Booster,0.7939247497411115,True
5,3,1.587849499482223,True
6,year,0.9665170866413532,True
7,Bordetella,1.9675526406627546,True
8,Oral,0.3797031411805316,True
9,,4.211253020365896,True
10,Annual,1.2081463583016914,True
11,Vacc,0.3106662064204349,True
12,6mo,0.20711080428028997,True
13,NexGard,0.41422160856057993,True
14,M,0.03451846738004832,True
15,10,0.20711080428028997,True
16,24,0.03451846738004832,True
17,29971,0.03451846738004832,True
18,Intestinal,0.34518467380048323,True
19,Parasites,0.2416292716603383,True
20,Examination,0.06903693476009665,True
21,Influenza,0.34518467380048323,True
22,H3N8/H3N2,0.17259233690024162,True
23,K9,1.1391094235415948,True
24,1yr,1.794960303762513,True
25,Fecal,1.484294097342078,True
26,O&PCmb,0.3106662064204349,True
27,T808,0.34518467380048323,True
28,Borrelia,0.17259233690024162,True
29,Lyme,0.8974801518812565,True
30,Advantix,0.1380738695201933,True
31,Dog,0.10355540214014498,True
32,Up,0.03451846738004832,True
33,To,0.03451846738004832,True
34,10lbs,0.03451846738004832,True
35,Heartgard,0.9665170866413532,True
36,Plus,1.8294787711425613,True
37,S,0.17259233690024162,True
38,1-25lb/1-11kg,0.10355540214014498,True
39,6Pk,0.1380738695201933,True
40,DISPME,0.03451846738004832,True
41,Exam,0.20711080428028997,True
42,with,0.20711080428028997,True
43,Vaccines,0.06903693476009665,True
44,Puppy,0.20711080428028997,True
45,Heartworm,0.44874007594062826,True
46,Antigen,0.1380738695201933,True
47,Test,0.5177770107007249,True
48,Antech,0.17259233690024162,True
49,1,1.7259233690024163,True
50,yr,0.20711080428028997,True
51,DA2PP,0.34518467380048323,True
52,Interceptor,0.9665170866413532,True
53,11.4-22.7kg,0.06903693476009665,True
54,Yellow,0.3106662064204349,True
55,BORDETELLA,0.17259233690024162,True
56,ANTICOUGH,0.03451846738004832,True
57,VACCINE,0.44874007594062826,True
58,HEARTGARD,0.03451846738004832,True
59,K-9,0.06903693476009665,True
60,0-25,0.17259233690024162,True
61,BLUE,0.03451846738004832,True
62,10-24,0.06903693476009665,True
63,lb,0.2761477390403866,True
64,6,1.0010355540214015,True
65,dose,0.1380738695201933,True
66,pack,0.17259233690024162,True
67,AccuPlex4,0.17259233690024162,True
68,HWAg,0.34518467380048323,True
69,Ehrlich,0.17259233690024162,True
70,Anapl,0.2416292716603383,True
71,AC100,0.06903693476009665,True
72,Milbemax,0.03451846738004832,True
73,16mg,0.03451846738004832,True
74,2kg,0.03451846738004832,True
75,Flavor,0.03451846738004832,True
76,Coated,0.03451846738004832,True
77,T,0.06903693476009665,True
78,CANINE,0.2761477390403866,True
