word,count_p,count_np,diff_p_np
Leptospirosis,0.6903693476009665,0.0028291744468963956,0.6875401731540701
Vaccine,3.175698998964446,0.04809596559723873,3.1276030333672074
Canine,2.312737314463238,0.9873818819668421,1.3253554324963959
Rabies,1.3462202278218847,0.016975046681378374,1.3292451811405064
Booster,0.7939247497411115,0.0028291744468963956,0.7910955752942151
3,1.587849499482223,0.18389633904826572,1.4039531604339572
year,0.9665170866413532,0.011316697787585582,0.9552003888537676
Bordetella,1.9675526406627546,0.011316697787585582,1.956235942875169
Oral,0.3797031411805316,0.17540881570757652,0.2042943254729551
,4.211253020365896,4.6879420585073275,-0.4766890381414317
Annual,1.2081463583016914,0.09336275674758106,1.1147836015541104
Vacc,0.3106662064204349,0.0028291744468963956,0.3078370319735385
6mo,0.20711080428028997,0.0,0.20711080428028997
NexGard,0.41422160856057993,0.008487523340689187,0.40573408521989074
M,0.03451846738004832,0.005658348893792791,0.028860118486255533
10,0.20711080428028997,0.2829174446896396,-0.07580664040934962
24,0.03451846738004832,0.04809596559723873,-0.013577498217190405
29971,0.03451846738004832,0.0,0.03451846738004832
Intestinal,0.34518467380048323,0.022633395575171165,0.32255127822531204
Parasites,0.2416292716603383,0.03112091891586035,0.21050835274447793
Examination,0.06903693476009665,0.7016352628303061,-0.6325983280702094
Influenza,0.34518467380048323,0.0,0.34518467380048323
H3N8/H3N2,0.17259233690024162,0.0,0.17259233690024162
K9,1.1391094235415948,0.6874893905958241,0.4516200329457707
1yr,1.794960303762513,0.03960844225654954,1.7553518615059636
Fecal,1.484294097342078,0.23482147909240084,1.2494726182496771
O&PCmb,0.3106662064204349,0.02546257002206756,0.2852036363983673
T808,0.34518467380048323,0.03112091891586035,0.3140637548846229
Borrelia,0.17259233690024162,0.0,0.17259233690024162
Lyme,0.8974801518812565,0.014145872234481978,0.8833342796467746
Advantix,0.1380738695201933,0.0,0.1380738695201933
Dog,0.10355540214014498,0.17823799015447292,-0.07468258801432794
Up,0.03451846738004832,0.10467945453516664,-0.07016098715511832
To,0.03451846738004832,0.016975046681378374,0.01754342069866995
10lbs,0.03451846738004832,0.005658348893792791,0.028860118486255533
Heartgard,0.9665170866413532,0.0028291744468963956,0.9636879121944568
Plus,1.8294787711425613,0.11599615232275222,1.7134826188198091
S,0.17259233690024162,0.04526679115034233,0.1273255457498993
1-25lb/1-11kg,0.10355540214014498,0.0,0.10355540214014498
6Pk,0.1380738695201933,0.0,0.1380738695201933
DISPME,0.03451846738004832,0.04243761670344594,-0.007919149323397615
Exam,0.20711080428028997,1.4202455723419907,-1.2131347680617006
with,0.20711080428028997,0.17823799015447292,0.028872814125817048
Vaccines,0.06903693476009665,0.005658348893792791,0.06337858586630385
Puppy,0.20711080428028997,0.04809596559723873,0.15901483868305125
Heartworm,0.44874007594062826,0.008487523340689187,0.44025255259993906
Antigen,0.1380738695201933,0.005658348893792791,0.1324155206264005
Test,0.5177770107007249,0.20935890907033328,0.30841810163039163
Antech,0.17259233690024162,0.1301420245572342,0.04245031234300742
1,1.7259233690024163,0.5516890171447971,1.1742343518576193
yr,0.20711080428028997,0.0,0.20711080428028997
DA2PP,0.34518467380048323,0.005658348893792791,0.33952632490669044
Interceptor,0.9665170866413532,0.0028291744468963956,0.9636879121944568
11.4-22.7kg,0.06903693476009665,0.0,0.06903693476009665
Yellow,0.3106662064204349,0.005658348893792791,0.3050078575266421
BORDETELLA,0.17259233690024162,0.0,0.17259233690024162
ANTICOUGH,0.03451846738004832,0.0,0.03451846738004832
VACCINE,0.44874007594062826,0.0028291744468963956,0.44591090149373186
HEARTGARD,0.03451846738004832,0.0,0.03451846738004832
K-9,0.06903693476009665,0.03395009336275675,0.0350868413973399
0-25,0.17259233690024162,0.0028291744468963956,0.16976316245334522
BLUE,0.03451846738004832,0.0,0.03451846738004832
10-24,0.06903693476009665,0.0,0.06903693476009665
lb,0.2761477390403866,0.0650710122786171,0.21107672676176947
6,1.0010355540214015,0.0707293611724099,0.9303061928489916
dose,0.1380738695201933,0.01980422112827477,0.11826964839191853
pack,0.17259233690024162,0.03677926780965314,0.1358130690905885
AccuPlex4,0.17259233690024162,0.005658348893792791,0.16693398800644882
HWAg,0.34518467380048323,0.011316697787585582,0.33386797601289764
Ehrlich,0.17259233690024162,0.0028291744468963956,0.16976316245334522
Anapl,0.2416292716603383,0.0028291744468963956,0.2388000972134419
AC100,0.06903693476009665,0.0028291744468963956,0.06620776031320025
Milbemax,0.03451846738004832,0.0,0.03451846738004832
16mg,0.03451846738004832,0.18955468794205851,-0.1550362205620102
2kg,0.03451846738004832,0.0,0.03451846738004832
Flavor,0.03451846738004832,0.014145872234481978,0.020372595145566344
Coated,0.03451846738004832,0.0,0.03451846738004832
T,0.06903693476009665,0.011316697787585582,0.057720236972511066
CANINE,0.2761477390403866,0.09053358230068466,0.18561415673970194
EXAM,0.06903693476009665,0.11882532676964862,-0.04978839200955197
BORD,0.03451846738004832,0.0,0.03451846738004832
Nexgard,0.41422160856057993,0.005658348893792791,0.40856325966678714
Chews,0.10355540214014498,0.10467945453516664,-0.0011240523950216547
Purple,0.10355540214014498,0.005658348893792791,0.09789705324635219
24.1-60,0.1380738695201933,0.0,0.1380738695201933
Medical,0.2416292716603383,0.8148022407061619,-0.5731729690458236
Waste,0.3106662064204349,0.35930515475584224,-0.04863894833540733
Level,0.06903693476009665,0.20652973462343688,-0.13749279986334023
Leptospira,0.17259233690024162,0.0028291744468963956,0.16976316245334522
Vaccination,0.8974801518812565,0.011316697787585582,0.8861634540936709
Flu,0.3106662064204349,0.0,0.3106662064204349
H3N2,0.17259233690024162,0.0,0.17259233690024162
FLU,0.03451846738004832,0.0,0.03451846738004832
H3N8,0.10355540214014498,0.0,0.10355540214014498
AD,0.10355540214014498,0.03112091891586035,0.07243448322428464
Schem/cbc/t4,0.03451846738004832,0.0,0.03451846738004832
Heartworm/Lyme/Ehrlichia/Anaplasmos,0.06903693476009665,0.0,0.06903693476009665
PROHEART,0.03451846738004832,0.0,0.03451846738004832
MONTH,0.03451846738004832,0.0,0.03451846738004832
Ear,0.03451846738004832,0.5064222259944549,-0.47190375861440653
cleaning,0.03451846738004832,0.008487523340689187,0.026030944039359134
Bi-lateral,0.03451846738004832,0.0,0.03451846738004832
AC,0.06903693476009665,0.011316697787585582,0.057720236972511066
CBC,0.10355540214014498,0.40174277145928816,-0.2981873693191432
SA600,0.03451846738004832,0.005658348893792791,0.028860118486255533
Nobivac,0.06903693476009665,0.0,0.06903693476009665
Lepto,0.44874007594062826,0.005658348893792791,0.44308172704683546
Bravecto,1.070072488781498,0.0028291744468963956,1.0672433143346016
44.1,0.03451846738004832,0.0,0.03451846738004832
88lb,0.03451846738004832,0.0,0.03451846738004832
single,0.10355540214014498,0.016975046681378374,0.0865803554587666
blue,0.06903693476009665,0.0,0.06903693476009665
Combo,0.2761477390403866,0.014145872234481978,0.2620018668059046
4dx,0.03451846738004832,0.0,0.03451846738004832
Distemper,0.20711080428028997,0.0,0.20711080428028997
3yr,0.6213324128408698,0.008487523340689187,0.6128448895001807
Disease,0.17259233690024162,0.0028291744468963956,0.16976316245334522
Initial,0.10355540214014498,0.08770440785378826,0.015850994286356723
Dolpac,0.10355540214014498,0.0,0.10355540214014498
Tabs,0.10355540214014498,0.20652973462343688,-0.1029743324832919
DF,0.03451846738004832,0.005658348893792791,0.028860118486255533
DA2P,0.17259233690024162,0.0,0.17259233690024162
Parvo,0.06903693476009665,0.016975046681378374,0.05206188807871827
DHPP,0.2416292716603383,0.0,0.2416292716603383
booster,0.03451846738004832,0.0,0.03451846738004832
